Age,Marital_Status,Education,Dependents,Residence_Type,City_Tier,Employment_Type,Years_at_Current_Job,Total_Work_Experience,Monthly_Income,Other_Income,Existing_Loans,Existing_Loan_Amount,Monthly_EMI,Debt_to_Income,Savings,Investments,Bank_Balance,Credit_Card_Utilization,Number_of_Bank_Accounts,Number_of_Credit_Cards,Credit_Score,Loan_Defaults,Missed_Payments,Tax_Return_Filed,Loan_Purpose,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral,Collateral_Value,Loan_to_Value,Total_Debt_Exposure
26,Married,High School,1,Urban,1,Self-Employed,2,3,60738,0.0,0,0,0,0.0,1038604.0,0.0,,10.24,1,1,644.0,0,0,,Business,1890645,10,13.51,No,,,1890645
49,Married,Graduate,3,Urban,4,Private,7,10,77837,,2,5199389,63317,81.35,488537.0,0.0,270760.0,46.23,1,2,513.0,0,2,No,Home,2398936,25,16.81,Yes,4137150.0,57.99,7598325
50,Married,Graduate,1,Rural,3,Private,9,9,46410,0.0,3,1646960,36288,78.19,292540.0,0.0,359911.0,22.75,1,1,510.0,0,3,Yes,Business,1367412,5,16.25,Yes,1685912.0,81.11,3014372
45,Married,PhD,0,Urban,1,Self-Employed,5,9,118673,731794.0,0,0,0,0.0,1544728.0,390053.0,1394540.0,33.56,2,3,672.0,0,0,Yes,Medical,748910,5,11.0,No,,,748910
26,Single,Post Graduate,0,Rural,2,Private,3,5,56081,11683.0,2,3296058,38918,69.4,502455.0,0.0,272818.0,42.62,2,0,378.0,1,3,Yes,Vehicle,595608,5,15.05,Yes,1102531.0,54.02,3891666
42,Married,PhD,1,Urban,1,Government,10,16,73835,0.0,2,397313,4474,6.06,916364.0,0.0,446463.0,5.58,1,2,642.0,0,0,Yes,Personal,481186,2,11.77,No,,,878499
26,Married,High School,2,Urban,1,Skilled Labor,1,1,35930,0.0,2,432728,9766,27.18,90016.0,30807.0,90105.0,26.9,3,1,637.0,0,0,No,Business,1655229,5,13.15,Yes,2922269.0,56.64,2087957
44,Married,Post Graduate,1,Urban,2,Government,11,15,56281,0.0,1,2737376,29383,52.21,613135.0,237563.0,332451.0,45.32,3,1,534.0,0,3,Yes,Home,1785037,20,14.18,Yes,3644679.0,48.98,4522413
23,Single,High School,0,Rural,4,Self-Employed,0,1,64512,0.0,0,0,0,0.0,1624753.0,0.0,1424619.0,25.47,1,3,645.0,0,0,Yes,Home,1747897,30,13.07,Yes,2118652.0,82.5,1747897
36,Married,Graduate,3,Urban,1,Private,7,12,78536,11693.0,1,4558972,64096,81.61,173875.0,52165.0,160060.0,27.7,2,1,551.0,0,2,Yes,Home,5116487,30,16.96,Yes,6710020.0,76.25,9675459
42,Single,Graduate,1,Urban,1,Self-Employed,0,0,98215,25019.0,0,0,0,0.0,295083.0,0.0,388580.0,45.86,3,3,707.0,0,0,Yes,Business,4471329,10,9.96,No,,,4471329
32,Married,No Formal,0,Urban,1,Skilled Labor,0,3,34225,0.0,0,0,0,0.0,759918.0,297843.0,601614.0,78.53,2,0,661.0,0,0,No,Education,172628,7,11.92,No,,,172628
35,Married,PhD,1,Urban,1,Government,12,14,87393,17459.0,1,635060,14316,16.38,921381.0,0.0,768532.0,63.43,5,2,661.0,0,0,Yes,Education,581465,10,11.55,No,,,1216525
34,Married,Diploma,1,Urban,2,Private,9,13,81874,53372.0,1,853867,12453,15.21,525483.0,421693.0,524014.0,34.92,4,2,651.0,0,1,Yes,Home,2613499,20,11.8,Yes,5624892.0,46.46,3467366
31,Married,High School,2,Urban,2,Unemployed,4,7,19380,113191.0,2,934052,13479,69.55,193024.0,0.0,197559.0,73.32,2,1,343.0,1,4,Yes,Personal,227480,2,16.87,No,,,1161532
32,Married,Post Graduate,3,Urban,1,Government,0,1,105667,0.0,2,2494091,25324,23.97,1935447.0,1413981.0,2347660.0,46.24,4,2,611.0,0,0,Yes,Home,5179139,15,12.93,Yes,7085684.0,73.09,7673230
31,Married,Post Graduate,2,Rural,4,Government,0,0,53913,0.0,0,0,0,0.0,356016.0,0.0,332636.0,30.54,2,0,660.0,0,0,Yes,Business,2289331,5,11.91,Yes,2962815.0,77.27,2289331
29,Divorced,No Formal,3,Urban,1,Self-Employed,0,0,113788,0.0,0,0,0,0.0,1584425.0,0.0,514704.0,15.43,3,1,654.0,0,0,Yes,Home,7665877,20,10.98,Yes,11385383.0,67.33,7665877
35,Married,Graduate,1,Urban,1,Private,13,14,73357,42657.0,2,4122390,41339,56.35,689642.0,169834.0,442460.0,28.18,4,2,618.0,0,1,Yes,Vehicle,1007010,5,12.07,No,,,5129400
30,Single,Graduate,0,Rural,2,Self-Employed,6,7,51278,0.0,0,0,0,0.0,432875.0,0.0,412934.0,31.78,1,1,661.0,0,0,No,Personal,618766,3,10.64,No,,,618766
29,Married,Diploma,1,Urban,2,Self-Employed,6,7,89558,35550.0,0,0,0,0.0,949928.0,0.0,523103.0,27.98,5,2,662.0,0,0,Yes,Home,3129900,20,10.67,Yes,5048578.0,62.0,3129900
57,Married,High School,2,Urban,1,Private,8,11,87233,0.0,0,0,0,0.0,1544307.0,304951.0,288009.0,24.67,5,3,671.0,0,0,Yes,Education,613426,5,11.78,No,,,613426
38,Married,High School,1,Urban,1,Skilled Labor,3,5,31825,66885.0,1,1407391,17311,54.39,276715.0,0.0,180811.0,65.22,1,2,588.0,0,1,No,Medical,298490,3,14.91,No,,,1705881
33,Married,Graduate,3,Urban,4,Private,3,7,49086,84447.0,0,0,0,0.0,309872.0,519978.0,175710.0,98.98784180197512,1,0,659.0,0,0,Yes,Vehicle,301040,3,10.23,No,,,301040
23,Single,Graduate,0,Rural,3,Private,0,1,27693,0.0,2,2027219,27485,95.0,121765.0,0.0,74028.0,86.84,1,1,550.0,0,1,No,Personal,424733,3,14.39,No,,,2451952
37,Married,Diploma,1,Urban,1,Private,2,8,88322,72175.0,1,3810933,49370,55.9,197080.0,145218.0,244924.0,7.01,4,1,,1,4,Yes,Education,345128,5,,Yes,466161.0,74.04,4156061
33,Single,Graduate,0,Urban,1,Private,0,0,55590,80654.0,2,3463295,40079,72.1,209530.0,38767.0,232630.0,31.35,1,2,522.0,0,2,Yes,Home,1968896,30,13.83,Yes,3282597.0,59.98,5432191
63,Widowed,Post Graduate,2,Urban,1,Government,10,34,163288,,1,6277751,83850,51.35,504294.0,146925.0,306549.0,29.85,3,4,450.0,1,4,Yes,Medical,976932,3,14.53,No,,,7254683
31,Married,No Formal,2,Urban,3,Unemployed,0,7,14458,0.0,0,0,0,91.97546486998765,13322.0,10462.0,9376.0,74.73,2,0,525.0,0,0,Yes,Personal,107740,2,14.98,No,,,107740
29,Single,High School,1,Rural,3,Self-Employed,1,6,87871,0.0,0,0,0,0.0,2049117.0,412460.0,865289.0,39.63,5,3,629.0,0,0,Yes,Home,3839286,25,11.57,Yes,5850765.0,65.62,3839286
32,Married,Graduate,3,Urban,1,Private,3,8,55429,8099.0,1,1118161,10191,18.39,1012290.0,1799125.0,1038281.0,47.66,2,1,630.0,0,0,Yes,Business,1057331,10,12.96,No,,,2175492
55,Married,High School,2,Urban,1,Skilled Labor,14,32,90526,0.0,1,487538,10722,11.84,287241.0,29981.0,328615.0,27.61,4,2,649.0,0,1,Yes,Home,5570789,25,12.6,Yes,8183805.0,68.07,6058327
30,Married,Graduate,2,Urban,2,Private,0,3,71752,0.0,0,0,0,0.0,222991.0,0.0,110946.0,32.81,1,2,659.0,0,0,Yes,Education,807780,7,10.93,No,,,807780
25,Single,Graduate,0,Urban,1,Government,4,4,85201,0.0,1,3741048,34092,40.01,364789.0,142364.0,450621.0,42.72,2,3,488.0,1,2,Yes,Business,1666677,10,14.84,No,,,5407725
38,Married,Diploma,3,Urban,1,Private,10,16,93692,,1,2231687,30755,32.83,835711.0,0.0,772941.0,42.6,2,1,491.0,1,3,Yes,Education,358845,10,14.97,Yes,466455.0,76.93,2590532
26,Married,Graduate,2,Urban,4,Government,1,3,61788,0.0,0,0,0,0.0,1188430.0,0.0,865543.0,22.52,3,3,676.0,0,0,Yes,Personal,302442,2,10.46,No,,,302442
25,Single,Graduate,0,Rural,4,Government,0,2,60905,0.0,0,0,0,0.0,652879.0,95404.0,188443.0,22.33,4,1,648.0,0,0,Yes,Vehicle,392216,5,12.73,Yes,654659.0,59.91,392216
50,Married,Graduate,1,Urban,2,Private,5,26,108830,10496.0,0,0,0,0.0,1150456.0,786414.0,926845.0,46.65,3,1,704.0,0,0,Yes,Medical,457130,3,10.18,No,,,457130
24,Single,Graduate,0,Rural,3,Private,1,2,60328,0.0,0,0,0,0.0,1162827.0,126871.0,1107114.0,25.74,3,3,716.0,0,0,Yes,Vehicle,957295,3,9.05,Yes,1160384.0,82.5,957295
44,Married,High School,1,Rural,3,Private,1,1,67669,7268.0,1,2121151,21496,31.77,633370.0,0.0,513551.0,2.25,2,2,563.0,0,2,Yes,Home,4464594,30,15.14,Yes,7829981.0,57.02,6585745
47,Single,No Formal,0,Urban,2,Skilled Labor,0,19,76324,0.0,1,1469210,16480,21.59,167571.0,53421.0,170618.0,51.43,1,1,627.0,0,0,No,Home,3827613,15,11.89,Yes,4571617.0,83.73,5296823
38,Married,High School,2,Urban,1,Private,5,7,58075,0.0,1,2779259,30065,51.77,538669.0,148899.0,205212.0,98.98784180197512,2,1,571.0,0,1,Yes,Personal,729034,5,15.15,No,,,3508293
30,Married,Graduate,2,Urban,1,Self-Employed,9,9,168741,0.0,0,0,0,0.0,2658352.0,0.0,3035988.0,28.6,2,4,709.0,0,0,Yes,Home,10624962,20,10.27,Yes,15574961.0,68.22,10624962
40,Married,Graduate,1,Rural,4,Self-Employed,12,12,53679,15410.0,1,1332293,18935,35.27,156384.0,33401.0,69861.0,73.37,2,2,645.0,0,0,Yes,Home,3843018,30,12.84,Yes,4991542.0,76.99,5175311
36,Married,Graduate,1,Urban,1,Private,3,7,96650,0.0,0,0,0,0.0,1792891.0,507590.0,2135426.0,12.72,3,2,636.0,0,0,Yes,Business,4496613,15,13.51,Yes,5812152.0,77.37,4496613
35,Single,Graduate,0,Rural,4,Private,1,3,49563,29914.0,0,0,0,0.0,452138.0,539681.0,391947.0,39.05,3,1,646.0,0,0,Yes,Personal,877333,2,12.84,Yes,1799944.0,48.74,877333
32,Married,Graduate,3,Urban,1,Private,5,5,58518,0.0,0,0,0,0.0,856142.0,149793.0,1027942.0,47.9,1,1,636.0,0,0,Yes,Medical,572332,5,12.58,No,,,572332
64,Married,Graduate,2,Urban,2,Government,6,8,77443,18707.0,1,621677,5920,7.64,1345330.0,390653.0,423150.0,35.03,3,2,629.0,0,1,Yes,Personal,470044,5,12.79,No,,,1091721
23,Single,No Formal,0,Urban,1,Skilled Labor,2,2,39554,0.0,0,0,0,0.0,299265.0,0.0,100551.0,38.11,2,1,664.0,0,0,No,Home,2693642,25,10.51,Yes,2978231.0,90.44,2693642
38,Single,Graduate,0,Urban,4,Private,0,0,32547,47274.0,2,1106788,12464,38.3,324580.0,279243.0,286983.0,17.44,3,2,615.0,0,0,Yes,Personal,392688,5,11.69,Yes,534406.0,73.48,1499476
40,Married,High School,2,Urban,1,Skilled Labor,12,12,52248,28808.0,1,2572914,55585,95.0,70188.0,47885.0,71416.0,85.37,2,0,533.0,0,2,Yes,Business,2025110,15,13.99,Yes,2365543.0,85.61,4598024
27,Single,High School,0,Rural,4,Private,3,3,56171,8397.0,1,2477011,24512,43.64,456402.0,93106.0,182882.0,42.9,1,2,493.0,1,2,Yes,Education,309298,10,14.83,Yes,473719.0,92.02263881509482,2786309
34,Married,High School,3,Urban,1,Skilled Labor,2,2,32873,0.0,1,488606,4669,14.2,290995.0,517856.0,295480.0,45.95,1,0,554.0,1,1,No,Personal,424129,3,13.93,No,,,912735
44,Married,Post Graduate,1,Urban,1,Government,16,22,145051,,1,3878137,37403,25.79,277158.0,60607.0,335605.0,6.67,2,2,637.0,0,1,Yes,Vehicle,1193872,3,12.92,No,,,5072009
40,Single,Diploma,0,Urban,1,Self-Employed,5,11,65696,131147.0,1,2324032,21954,33.42,978473.0,0.0,593298.0,19.6,1,2,627.0,0,0,Yes,Home,4469565,15,13.58,Yes,7042814.0,63.46,6793597
49,Married,Graduate,2,Urban,2,Private,7,13,77696,0.0,0,0,0,0.0,642433.0,116473.0,683887.0,11.64,2,3,664.0,0,0,Yes,Personal,1022362,3,11.29,No,,,1022362
40,Married,Diploma,3,Urban,2,Private,3,3,53634,10157.0,0,0,0,0.0,987735.0,359824.0,493036.0,16.49,1,1,681.0,0,0,No,Home,2445793,15,11.8,No,,,2445793
29,Married,Graduate,2,Urban,3,Government,0,1,49570,0.0,1,871337,9336,18.83,756538.0,242421.0,772672.0,35.27,1,1,661.0,0,0,Yes,Vehicle,296515,5,11.68,Yes,497195.0,59.64,1167852
29,Married,Post Graduate,3,Urban,2,Private,2,2,67013,17186.0,1,3606774,38983,58.17,631417.0,0.0,516935.0,30.18,2,3,386.0,1,3,Yes,Business,1638316,5,13.96,No,,,5245090
27,Married,High School,1,Urban,1,Private,2,4,72683,0.0,0,0,0,0.0,1538810.0,472268.0,1336153.0,21.59,2,2,661.0,0,0,Yes,Personal,216938,3,10.99,No,,,216938
37,Single,High School,0,Urban,1,Self-Employed,4,11,144529,30684.0,1,4474512,57299,39.65,2167795.0,473722.0,1420468.0,43.12,2,3,617.0,0,2,No,Business,5227727,10,12.93,No,,,9702239
54,Divorced,Graduate,1,Urban,2,Government,6,15,113308,6546.0,0,0,0,0.0,1274566.0,349236.0,1362670.0,60.92,3,1,695.0,0,0,Yes,Vehicle,540628,3,11.52,Yes,663246.0,81.51,540628
64,Married,Graduate,3,Urban,2,Private,26,40,88177,0.0,2,1430041,13553,15.37,285114.0,73291.0,248186.0,22.07,2,3,667.0,0,0,Yes,Personal,455783,3,11.86,No,,,1885824
51,Single,Graduate,0,Urban,2,Private,3,6,42626,0.0,1,2128486,19827,46.51,419699.0,371501.0,300085.0,36.19,2,1,621.0,0,0,Yes,Business,1959400,15,11.54,Yes,3497730.0,56.02,4087886
33,Married,Post Graduate,1,Urban,1,Private,1,4,100106,21998.0,0,0,0,0.0,2151515.0,829448.0,,16.76,2,2,657.0,0,0,Yes,Home,6974841,15,11.52,Yes,8822052.0,79.06,6974841
26,Married,Graduate,2,Urban,4,Private,0,1,37244,0.0,3,2421087,27159,72.92,198416.0,0.0,126798.0,6.57,2,1,469.0,0,3,Yes,Personal,474319,3,14.22,No,,,2895406
27,Married,Post Graduate,2,Urban,2,Private,4,6,58908,0.0,3,1368055,16383,27.81,965041.0,1520746.0,1009153.0,48.89,1,1,632.0,0,0,No,Home,4316828,20,13.52,Yes,6408791.0,67.36,5684883
36,Married,Graduate,2,Urban,1,Government,3,6,108331,40990.0,1,1908149,15583,14.38,1735255.0,0.0,560001.0,48.11,2,2,644.0,0,1,Yes,Business,3483570,10,12.08,No,,,5391719
54,Married,Graduate,2,Urban,2,Government,8,14,97958,90155.0,0,0,0,0.0,2082094.0,1199273.0,1225017.0,35.48,3,1,677.0,0,0,Yes,Home,6543229,20,10.1,Yes,10614651.0,61.64,6543229
55,Divorced,Post Graduate,1,Urban,1,Private,7,7,41646,0.0,0,0,0,0.0,894731.0,213604.0,772215.0,37.6,3,1,687.0,0,0,No,Personal,425214,3,10.65,No,,,425214
53,Married,Post Graduate,1,Urban,1,Private,8,20,112047,0.0,0,0,0,0.0,2793991.0,1654725.0,3368980.0,64.72,4,2,657.0,0,0,Yes,Home,7845228,30,10.63,Yes,11779189.0,66.6,7845228
36,Married,No Formal,1,Urban,1,Skilled Labor,0,2,41194,0.0,1,2069832,22693,55.09,189802.0,21431.0,219888.0,62.69,2,2,564.0,0,1,Yes,Home,2718722,20,16.31,Yes,2706930.0,95.0,4788554
22,Married,Diploma,3,Urban,1,Self-Employed,0,1,119736,0.0,0,0,0,0.0,2270359.0,253866.0,1009191.0,24.38,4,2,684.0,0,0,Yes,Personal,322993,3,10.55,No,,,322993
63,Divorced,Graduate,0,Urban,1,Private,2,3,57677,0.0,0,0,0,0.0,800670.0,601364.0,443294.0,23.78,3,0,686.0,0,0,Yes,Personal,386471,5,11.46,No,,,386471
34,Single,High School,0,Rural,4,Self-Employed,2,2,94385,712542.0,0,0,0,0.0,1365801.0,0.0,1321563.0,33.73,4,2,681.0,0,0,Yes,Business,2735285,10,10.91,No,,,2735285
26,Married,Graduate,2,Rural,3,Government,1,2,69768,0.0,0,0,0,0.0,840330.0,592749.0,685326.0,13.3,2,3,659.0,0,0,No,Home,3598112,20,11.56,Yes,6397782.0,56.24,3598112
26,Married,High School,2,Urban,4,Skilled Labor,0,3,19725,48674.0,2,478031,10712,54.31,183669.0,57618.0,79168.0,17.14,3,1,541.0,0,2,Yes,Vehicle,143461,5,16.08,No,,,621492
45,Married,No Formal,2,Rural,3,Skilled Labor,1,13,43475,33984.0,1,414965,5860,13.48,330668.0,169356.0,111875.0,63.23,2,1,619.0,0,0,Yes,Business,1385701,15,13.64,No,,,1800666
30,Married,Graduate,2,Urban,1,Government,2,5,114632,0.0,0,0,0,0.0,382711.0,79142.0,230120.0,20.13,3,2,702.0,0,0,Yes,Vehicle,1585912,3,9.76,No,,,1585912
34,Single,Post Graduate,0,Urban,3,Government,1,1,75886,17909.0,0,0,0,0.0,820937.0,239905.0,311228.0,4.74,1,2,672.0,0,0,Yes,Vehicle,691039,5,11.84,Yes,1278911.0,54.03,691039
46,Married,Diploma,3,Urban,4,Self-Employed,0,7,32096,103750.0,0,0,0,0.0,803657.0,297399.0,473155.0,44.2,2,2,676.0,0,0,No,Home,2105345,15,10.66,Yes,2781240.0,75.7,2105345
30,Single,High School,1,Urban,3,Private,3,4,61882,0.0,0,0,0,0.0,1379635.0,0.0,615833.0,0.11,1,2,676.0,0,0,Yes,Home,2962233,20,10.51,Yes,5220214.0,56.75,2962233
39,Single,Post Graduate,0,Rural,3,Private,4,6,51071,0.0,0,0,0,0.0,509429.0,560025.0,327404.0,34.78,1,1,671.0,0,0,Yes,Medical,180420,3,11.48,Yes,332040.0,54.34,180420
34,Single,PhD,0,Urban,1,Private,1,9,62773,12088.0,0,0,0,0.0,288508.0,0.0,212590.0,36.92,3,2,677.0,0,0,Yes,Vehicle,607105,5,10.62,Yes,940291.0,64.57,607105
26,Married,Graduate,1,Urban,1,Private,1,2,89287,0.0,2,3418094,34419,38.55,342417.0,0.0,454678.0,6.04,2,2,637.0,0,0,Yes,Home,4851127,25,12.47,Yes,7753060.0,62.57,8269221
50,Married,High School,1,Rural,4,Private,0,7,42974,14182.0,1,1252014,12756,29.68,689589.0,479996.0,674263.0,66.02,2,2,582.0,0,0,Yes,Home,3023527,25,16.58,Yes,4442257.0,93.730925745996,4275541
43,Married,Diploma,2,Urban,3,Private,1,4,54640,7255.0,0,0,0,0.0,426510.0,121780.0,206312.0,51.35,2,1,660.0,0,0,Yes,Home,1448764,30,10.24,Yes,1693298.0,85.56,1448764
39,Married,High School,2,Urban,1,Skilled Labor,4,5,36513,0.0,2,233326,2568,7.03,432160.0,0.0,407277.0,38.04,2,2,654.0,0,1,Yes,Personal,299144,3,10.75,No,,,532470
22,Single,Diploma,0,Urban,2,Government,0,1,102364,13034.0,1,704298,5765,5.63,1981558.0,0.0,709624.0,29.53,2,1,649.0,0,1,Yes,Personal,677245,2,12.45,Yes,1451376.0,46.66,1381543
26,Divorced,High School,0,Urban,3,Skilled Labor,1,5,27291,23346.0,1,780668,9540,34.96,412345.0,109324.0,211181.0,43.52,1,1,488.0,1,1,No,Home,1365454,25,14.96,Yes,2211432.0,61.75,2146122
37,Married,Graduate,2,Urban,2,Self-Employed,11,16,119933,0.0,1,7574538,65771,54.84,1290957.0,356449.0,787624.0,36.38,3,3,,1,2,Yes,Personal,1890361,2,,Yes,3622360.0,52.19,9464899
37,Married,No Formal,1,Urban,3,Skilled Labor,3,15,45452,39694.0,1,2880361,32473,71.44,369423.0,91028.0,329870.0,56.95,4,2,444.0,0,5,Yes,Personal,271803,3,15.59,No,,,3152164
36,Divorced,Graduate,0,Rural,3,Private,7,11,48481,0.0,2,1901421,18553,38.27,651299.0,0.0,480804.0,50.03,3,0,611.0,0,1,Yes,Vehicle,707831,5,12.15,Yes,770386.0,91.88,2609252
31,Single,Post Graduate,0,Urban,2,Self-Employed,2,3,69807,,1,824049,8096,11.6,353543.0,0.0,420335.0,0.0,3,3,639.0,0,0,No,Home,3209139,20,12.92,Yes,5374517.0,59.71,4033188
41,Married,High School,0,Rural,3,Self-Employed,9,12,93984,0.0,1,1832322,16277,17.32,910907.0,0.0,666435.0,52.09,4,2,647.0,0,0,Yes,Personal,1195438,2,12.62,Yes,1741699.0,68.64,3027760
38,Married,Graduate,1,Urban,1,Government,7,13,83380,23589.0,0,0,0,0.0,1432474.0,0.0,1400266.0,5.73,3,2,665.0,0,0,Yes,Home,2373845,25,11.08,Yes,4622282.0,51.36,2373845
50,Widowed,High School,0,Urban,2,Private,2,3,77051,0.0,2,1781691,14437,18.74,247725.0,0.0,216419.0,26.08,2,2,654.0,0,0,Yes,Home,4915368,30,11.46,Yes,5765659.0,85.25,6697059
28,Married,High School,3,Urban,1,Skilled Labor,4,5,47953,0.0,0,0,0,0.0,1031245.0,350848.0,790250.0,10.13,3,1,650.0,0,0,Yes,Vehicle,452829,3,10.6,No,,,452829
