Age,Education,Dependents,Residence_Type,City_Tier,Years_at_Current_Job,Total_Work_Experience,Monthly_Income,Other_Income,Existing_Loans,Existing_Loan_Amount,Monthly_EMI,Debt_to_Income,Savings,Investments,Bank_Balance,Credit_Card_Utilization,Number_of_Bank_Accounts,Number_of_Credit_Cards,Credit_Score,Loan_Defaults,Missed_Payments,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral,Collateral_Value,Loan_to_Value,Total_Debt_Exposure,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widowed,Employment_Type_Private,Employment_Type_Self-Employed,Employment_Type_Skilled Labor,Employment_Type_Unemployed,Tax_Return_Filed_Unknown,Tax_Return_Filed_Yes,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Medical,Loan_Purpose_Personal,Loan_Purpose_Vehicle
28,1,2,0,3,6,6,74812,0.0,0,0,0,0.0,226056.0,0.0,126946.0,36.12,1,3,642.0,0,0,4898182,25,12.09,1,6462906.0,75.79,4898182,1,0,0,0,1,0,0,0,1,0,1,0,0,0
48,3,1,1,1,9,9,110170,0.0,2,3591663,25507,23.15,825112.0,299219.0,651422.0,51.03,5,3,637.0,0,1,1719023,3,13.83,0,3135356.0,65.88499999999999,5310686,1,0,0,1,0,0,0,0,1,0,0,0,1,0
33,3,1,1,1,1,5,88688,16869.0,1,2216859,47104,53.11,989801.0,0.0,409882.0,39.57,2,1,503.0,1,2,2847575,25,16.06,1,4125799.0,69.02,5064434,0,1,0,1,0,0,0,0,1,0,1,0,0,0
39,0,0,1,1,0,0,6663,0.0,1,377728,8433,95.0,3105.0,410.0,9223.0,86.88,1,1,499.0,0,2,181224,20,16.52,1,285895.0,63.39,558952,0,0,0,0,0,0,1,0,1,0,1,0,0,0
39,3,2,1,1,1,1,85648,0.0,0,0,0,0.0,1539643.0,0.0,1219301.0,23.39,3,2,674.0,0,0,4431107,30,11.67,1,5603959.0,79.07,4431107,1,0,0,1,0,0,0,0,1,0,1,0,0,0
35,1,0,0,4,2,3,34474,32811.0,2,1204587,12484,36.21,469674.0,0.0,351038.0,62.75,1,1,622.0,0,1,1989943,20,12.69,1,4142395.0,48.04,3194530,0,1,0,1,0,0,0,0,0,0,1,0,0,0
41,1,2,1,1,9,11,74192,95072.0,1,899143,7846,10.58,463170.0,0.0,352791.0,59.67,1,3,670.0,0,0,965174,3,11.81,0,3135356.0,65.88499999999999,1864317,1,0,0,1,0,0,0,0,1,0,0,0,1,0
29,4,2,1,1,3,3,75555,20930.0,0,0,0,0.0,676068.0,231561.0,259541.0,36.75,1,2,689.0,0,0,703819,7,10.58,1,1255569.0,56.06,703819,1,0,0,1,0,0,0,0,1,0,0,0,0,1
28,2,1,1,2,2,7,92085,0.0,2,2502576,31934,34.68,568922.0,0.0,558376.0,50.19,4,3,637.0,0,0,6224098,25,11.85,1,7769566.0,80.11,8726674,0,1,0,0,0,0,0,0,1,0,1,0,0,0
42,4,2,0,4,2,10,57559,12232.0,0,0,0,0.0,616321.0,641949.0,257656.0,24.53,2,2,671.0,0,0,416122,5,10.68,1,574282.0,72.46,416122,1,0,0,1,0,0,0,0,0,0,0,0,0,1
22,1,0,1,2,0,0,23070,0.0,0,0,0,0.0,364948.0,521342.0,332945.0,49.26,1,0,651.0,0,0,644026,20,11.44,1,770110.0,83.63,644026,0,1,0,0,0,1,0,0,1,0,1,0,0,0
28,3,3,1,1,2,2,107290,0.0,0,0,0,0.0,242907.0,0.0,306917.0,23.28,4,1,694.0,0,0,2075801,2,10.21,0,3135356.0,65.88499999999999,2075801,1,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1,0,1,2,15,16,115175,0.0,1,999615,8902,7.73,2388157.0,657589.0,658202.0,51.83,4,3,684.0,0,0,1614822,5,10.25,0,3135356.0,65.88499999999999,2614437,1,0,0,0,1,0,0,0,1,0,0,0,0,1
38,1,2,1,2,7,7,70257,0.0,0,0,0,0.0,1455060.0,2322067.0,516646.0,22.87,2,2,666.0,0,0,2755074,15,11.18,1,3384402.0,81.41,2755074,1,0,0,1,0,0,0,0,1,0,1,0,0,0
45,3,2,1,2,5,10,96888,0.0,1,4095369,42416,43.78,1350813.0,0.0,1459843.0,47.41,5,3,632.0,0,0,4460627,20,11.97,1,8050475.0,55.41,8555996,1,0,0,1,0,0,0,0,1,0,1,0,0,0
24,2,0,0,4,2,2,50885,0.0,0,0,0,0.0,224081.0,0.0,253219.0,46.22,3,2,684.0,0,0,536302,7,11.9,0,3135356.0,65.88499999999999,536302,0,1,0,1,0,0,0,0,0,0,0,0,0,1
51,3,0,0,3,7,13,58125,0.0,0,0,0,0.0,451548.0,0.0,366515.0,23.64,2,0,678.0,0,0,587907,5,10.75,0,3135356.0,65.88499999999999,587907,1,0,0,1,0,0,0,0,0,1,0,0,0,0
30,4,2,0,3,3,5,71102,0.0,0,0,0,0.0,590821.0,0.0,624272.0,14.42,2,1,662.0,0,0,4765661,20,11.53,1,6697614.0,71.15,4765661,1,0,0,1,0,0,0,0,1,0,1,0,0,0
41,2,0,1,1,6,15,75586,0.0,1,2433702,23379,30.93,677424.0,0.0,303977.0,30.26,1,2,622.0,0,0,1493727,10,11.55,1,2769455.0,53.94,3927429,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,2,1,0,3,0,3,72712,0.0,0,0,0,0.0,436705.0,78879.0,221865.0,33.54,1,2,693.0,0,0,3085203,10,10.43,0,3135356.0,65.88499999999999,3085203,0,1,0,0,0,0,0,0,1,0,0,0,0,0
52,1,3,1,2,9,12,47381,293624.0,2,2502040,54877,95.0,208257.0,0.0,209604.0,66.3,2,2,533.0,0,2,319587,5,14.23,1,457287.0,69.89,2821627,1,0,0,0,0,1,0,1,0,0,0,0,0,1
23,3,0,0,4,0,0,53602,0.0,1,247580,3149,5.87,1115733.0,0.0,1225507.0,25.82,2,2,661.0,0,0,2174488,25,11.01,1,2362356.0,92.05,2422068,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,1,0,0,3,0,0,47583,0.0,0,0,0,0.0,477111.0,0.0,515243.0,21.02,4,2,678.0,0,0,2087924,10,11.36,1,2980361.0,70.06,2087924,0,1,0,1,0,0,0,0,1,0,0,0,0,0
21,0,0,0,2,0,0,72274,58159.0,1,3992406,42301,58.53,410917.0,0.0,370588.0,44.53,3,1,529.0,0,3,343184,5,16.91,0,3135356.0,65.88499999999999,4335590,0,1,0,0,1,0,0,0,0,0,0,0,0,1
47,1,1,1,2,24,24,89140,0.0,1,3121704,35271,39.57,1401762.0,157220.0,1290071.0,25.34,2,2,452.0,1,2,3374779,5,16.26,1,6814309.0,49.52,6496483,0,1,0,1,0,0,0,0,1,0,0,0,0,0
31,3,0,0,4,1,6,45487,117384.0,2,2030923,23410,51.47,369618.0,0.0,422682.0,61.31,3,1,522.0,0,3,1993832,30,16.84,1,2260170.0,88.22,4024755,0,1,0,1,0,0,0,0,1,0,1,0,0,0
45,4,3,1,2,6,12,81433,0.0,2,1090440,14482,17.78,1163580.0,402211.0,507841.0,68.9,3,2,602.0,0,2,2534135,30,11.54,1,2789025.0,90.86,3624575,1,0,0,1,0,0,0,1,0,0,1,0,0,0
39,4,0,1,1,0,0,50758,19811.0,3,2992620,39904,78.62,169971.0,238522.0,188099.0,63.07,1,0,356.0,1,5,376735,10,14.53,0,3135356.0,65.88499999999999,3369355,1,0,0,1,0,0,0,0,1,1,0,0,0,0
28,2,2,1,1,0,1,42747,0.0,0,0,0,0.0,450260.0,371462.0,515251.0,36.99,2,2,682.0,0,0,424007,5,10.73,0,3135356.0,65.88499999999999,424007,1,0,0,0,1,0,0,0,1,0,0,0,0,1
36,3,2,1,1,1,1,89711,0.0,0,0,0,0.0,2048427.0,1521352.0,1184400.0,21.13,3,3,705.0,0,0,1214100,5,9.36,1,1661578.0,73.07,1214100,1,0,0,1,0,0,0,0,1,0,0,0,0,1
34,3,0,1,1,2,2,113021,0.0,0,0,0,0.0,537787.0,187834.0,277763.0,0.0,3,2,686.0,0,0,1860957,3,10.45,1,3233815.0,57.55,1860957,0,1,0,0,1,0,0,0,1,0,0,0,1,0
23,4,0,1,2,1,1,65868,0.0,0,0,0,0.0,635843.0,0.0,764964.0,30.07,3,1,629.0,0,0,1835353,20,11.74,1,2346031.0,78.23,1835353,0,1,0,1,0,0,0,0,0,0,1,0,0,0
55,1,2,1,1,4,13,142860,0.0,1,6764703,53395,37.38,361552.0,73330.0,317889.0,48.25,3,3,474.0,1,2,4439902,15,14.41,1,4552387.0,95.0,11204605,1,0,0,0,1,0,0,0,1,0,1,0,0,0
41,4,0,0,4,0,5,27684,20675.0,0,0,0,0.0,580619.0,1095640.0,398187.0,41.02,1,2,661.0,0,0,1436613,30,11.3,1,1780426.0,80.69,1436613,1,0,0,1,0,0,0,0,1,0,1,0,0,0
29,4,0,1,1,1,6,79873,0.0,0,0,0,0.0,1006212.0,210319.0,814180.0,32.92,2,1,698.0,0,0,869212,3,10.46,1,1590832.0,54.64,869212,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35,3,0,0,3,7,9,48969,0.0,1,1006734,12991,26.53,866474.0,0.0,725019.0,64.84,2,2,630.0,0,0,730962,5,13.21,0,3135356.0,65.88499999999999,1737696,0,0,0,1,0,0,0,0,1,0,0,0,1,0
28,1,0,0,4,2,2,51344,0.0,0,0,0,0.0,327442.0,132153.0,220829.0,22.61,1,2,656.0,0,0,1202598,5,10.61,1,1949748.0,61.68,1202598,1,0,0,0,1,0,0,0,0,0,0,0,0,0
46,3,3,0,4,10,25,57977,0.0,2,3602514,39202,67.62,572677.0,0.0,717756.0,41.23,2,2,505.0,0,3,3463465,20,13.6,1,7363704.0,47.03,7065979,1,0,0,1,0,0,0,0,1,0,1,0,0,0
29,4,0,0,3,1,7,36557,20921.0,0,0,0,0.0,84027.0,19953.0,59597.0,7.81,1,1,644.0,0,0,459711,2,13.51,0,3135356.0,65.88499999999999,459711,0,1,0,1,0,0,0,0,1,0,0,0,1,0
31,5,0,1,2,0,5,49002,0.0,2,3232310,31563,64.41,360536.0,0.0,309130.0,53.9,1,1,471.0,1,3,649741,2,13.77,0,3135356.0,65.88499999999999,3882051,1,0,0,0,0,0,0,0,1,0,0,0,1,0
34,3,2,1,2,12,13,78714,0.0,1,4343468,55292,70.24,603556.0,619117.0,432317.0,43.13,1,2,436.0,1,3,1335379,5,15.55,0,3135356.0,65.88499999999999,5678847,1,0,0,1,0,0,0,0,1,0,0,0,1,0
47,3,2,0,3,7,20,68721,0.0,1,3768130,35991,52.37,520237.0,0.0,324440.0,59.15,3,1,464.0,1,2,4882388,30,16.6,1,5967877.0,81.81,8650518,1,0,0,1,0,0,0,1,0,0,1,0,0,0
34,1,0,1,1,5,7,53439,0.0,1,2092830,24142,45.18,362532.0,131924.0,221926.0,88.77,4,2,568.0,0,0,2553922,5,16.28,1,4109959.0,62.14,4646752,0,1,0,0,1,0,0,0,1,0,0,0,0,0
32,4,1,1,2,0,1,71405,0.0,0,0,0,0.0,955657.0,637712.0,831860.0,34.16,2,3,656.0,0,0,322470,5,10.58,1,380442.0,84.76,322470,1,0,0,1,0,0,0,0,1,0,0,1,0,0
29,3,2,1,1,4,5,56095,0.0,1,3566770,45371,80.88,429781.0,367712.0,486172.0,47.04,2,2,456.0,0,5,3398539,30,16.48,1,3809009.0,89.22,6965309,1,0,0,1,0,0,0,0,1,0,1,0,0,0
42,3,0,0,4,3,4,45909,87444.0,0,0,0,0.0,987836.0,0.0,1221132.0,2.43,2,2,643.0,0,0,1137925,20,12.53,1,1893217.0,60.11,1137925,1,0,0,1,0,0,0,0,1,0,1,0,0,0
42,4,0,1,2,3,10,107813,0.0,0,0,0,0.0,2140577.0,0.0,641270.0,59.83,2,1,665.0,0,0,1064340,5,11.74,1,1361464.0,78.18,1064340,1,0,0,0,0,0,0,0,1,0,0,0,0,1
21,3,0,1,1,0,0,76289,13657.0,0,0,0,0.0,1733002.0,0.0,898359.0,45.85,2,3,670.0,0,0,427892,5,10.42,0,3135356.0,65.88499999999999,427892,0,1,0,1,0,0,0,0,1,0,0,0,1,0
34,1,0,0,4,4,7,64128,0.0,1,4136857,87862,95.0,107679.0,0.0,107696.0,49.77,1,3,405.0,1,3,894817,5,14.22,1,1314200.0,68.09,5031674,0,0,1,1,0,0,0,0,1,0,0,0,0,1
25,1,0,1,1,0,0,2446,0.0,3,140300,2150,87.9,5786.0,1950.0,6290.0,50.63,1,1,432.0,1,2,44294,2,14.03,1,88451.0,50.08,184594,0,1,0,0,0,0,1,0,1,0,0,0,1,0
48,3,1,1,4,1,4,51544,0.0,1,2858721,30617,59.4,550370.0,122345.0,342792.0,77.59,1,1,573.0,0,1,354185,2,15.38,0,3135356.0,65.88499999999999,3212906,0,0,1,1,0,0,0,0,1,0,0,1,0,0
25,1,0,0,4,1,2,65449,0.0,1,837218,9282,14.18,593351.0,287701.0,701217.0,17.38,2,2,660.0,0,0,333252,3,11.51,0,3135356.0,65.88499999999999,1170470,0,1,0,0,1,0,0,0,1,0,0,0,1,0
40,4,0,1,1,2,13,107379,0.0,0,0,0,0.0,498436.0,0.0,316393.0,37.49,4,3,680.0,0,0,1003236,5,11.1,0,3135356.0,65.88499999999999,1003236,0,1,0,1,0,0,0,0,1,0,0,1,0,0
51,3,0,1,2,2,11,63000,0.0,2,2122840,22625,35.91,866271.0,178471.0,722025.0,44.76,1,1,587.0,0,1,2428366,25,14.72,1,3203753.0,75.8,4551206,1,0,0,1,0,0,0,0,1,0,1,0,0,0
41,1,3,1,1,7,10,67508,6453.0,0,0,0,0.0,1273235.0,962203.0,1343820.0,19.86,1,2,701.0,0,0,2363765,5,10.13,0,3135356.0,65.88499999999999,2363765,1,0,0,0,0,1,0,0,1,0,0,0,0,0
25,2,0,1,1,1,4,84511,12477.0,1,1278461,17095,20.23,1372795.0,320211.0,1651978.0,25.49,4,1,623.0,0,1,1404631,2,12.27,0,3135356.0,65.88499999999999,2683092,0,1,0,1,0,0,0,0,1,0,0,0,1,0
29,1,0,0,4,0,0,44688,11607.0,1,1633337,19105,42.75,179958.0,131247.0,240823.0,41.42,2,1,589.0,0,1,497488,5,14.14,0,3135356.0,65.88499999999999,2130825,0,1,0,1,0,0,0,0,1,0,0,0,0,1
49,1,2,1,1,4,11,53828,0.0,1,2771613,30244,56.19,223477.0,45395.0,109407.0,42.2,3,1,350.0,1,5,882981,2,13.64,0,3135356.0,65.88499999999999,3654594,1,0,0,0,0,1,0,0,0,0,0,0,1,0
23,3,0,0,3,0,2,31286,251433.0,2,407687,4642,14.84,93747.0,52541.0,110956.0,29.07,1,0,667.0,0,0,1587702,10,11.37,0,3135356.0,65.88499999999999,1995389,0,1,0,1,0,0,0,0,0,0,0,0,0,0
53,5,3,1,2,4,4,79692,110353.0,2,3501785,37843,47.49,258881.0,298175.0,174917.0,49.94,3,3,434.0,1,2,682956,5,16.56,0,3135356.0,65.88499999999999,4184741,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,5,0,0,1,0,0,43807,0.0,1,1309898,18029,41.16,82129.0,0.0,113087.0,67.41,3,2,568.0,0,1,403118,5,13.82,1,634352.0,63.55,1713016,0,1,0,1,0,0,0,0,1,0,0,0,0,1
44,1,2,0,3,4,15,47329,368383.0,0,0,0,0.0,866183.0,143334.0,824257.0,26.24,2,0,660.0,0,0,483760,10,10.11,0,3135356.0,65.88499999999999,483760,1,0,0,0,0,1,0,0,0,1,0,0,0,0
31,3,0,1,1,0,4,59183,0.0,0,0,0,0.0,445631.0,0.0,174078.0,18.39,2,1,667.0,0,0,591377,3,11.68,1,895760.0,66.02,591377,0,1,0,1,0,0,0,0,1,0,0,0,1,0
21,3,0,1,1,0,0,87278,0.0,1,5129859,51695,59.23,232978.0,25298.0,282085.0,38.12,5,3,567.0,0,1,749832,2,14.94,0,3135356.0,65.88499999999999,5879691,0,1,0,0,0,0,0,0,1,0,0,1,0,0
28,0,1,1,2,1,6,38149,0.0,3,1222005,17727,46.47,264971.0,0.0,213417.0,40.4,2,1,587.0,0,0,237525,3,14.54,0,3135356.0,65.88499999999999,1459530,1,0,0,0,1,0,0,0,1,0,0,0,1,0
35,4,0,1,2,2,2,73960,26304.0,1,4094500,40276,54.46,759512.0,587179.0,717905.0,54.69,1,2,425.0,1,4,3958086,25,16.2,1,7270908.0,54.44,8052586,1,0,0,0,1,0,0,0,0,0,1,0,0,0
61,3,2,0,3,13,16,55919,20923.0,1,1655446,16591,29.67,524698.0,429013.0,475245.0,24.21,1,0,607.0,0,0,227178,5,11.82,0,3135356.0,65.88499999999999,1882624,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,1,1,1,5,6,139657,0.0,1,1551956,11877,8.5,1474155.0,1144218.0,936745.0,34.99,2,5,676.0,0,0,1389117,10,10.73,0,3135356.0,65.88499999999999,2941073,0,1,0,0,1,0,0,0,1,1,0,0,0,0
54,3,1,1,2,16,19,95222,21419.0,2,6967774,75826,79.63,478751.0,0.0,203476.0,20.21,2,2,481.0,0,2,2606989,20,15.12,1,4103363.0,63.53,9574763,0,0,1,0,0,0,0,1,0,0,1,0,0,0
23,2,0,1,3,0,0,28556,19725.0,0,0,0,0.0,201900.0,0.0,191917.0,27.61,2,2,654.0,0,0,242641,7,10.34,1,302650.0,80.17,242641,0,1,0,1,0,0,0,0,0,1,0,0,0,0
41,3,2,1,1,6,6,58739,0.0,0,0,0,0.0,1102835.0,308072.0,1284517.0,26.29,1,2,686.0,0,0,678906,3,11.07,1,935949.0,72.54,678906,1,0,0,1,0,0,0,0,1,0,0,0,0,1
55,1,2,1,2,3,15,93137,0.0,1,1151858,10230,10.98,877194.0,310377.0,1097144.0,75.04,3,3,675.0,0,1,765571,3,10.14,0,3135356.0,65.88499999999999,1917429,1,0,0,1,0,0,0,0,1,0,0,1,0,0
42,2,2,1,1,18,21,150699,0.0,1,6593140,133970,88.9,634921.0,267632.0,545060.0,62.02,3,2,546.0,0,1,1639780,7,16.63,1,2623873.0,62.49,8232920,1,0,0,0,0,0,0,0,1,0,0,0,0,1
27,3,2,1,3,0,0,66917,0.0,1,3959824,38686,57.81,762175.0,0.0,819302.0,69.29,4,3,437.0,1,3,409520,3,16.0,1,559804.0,73.15,4369344,1,0,0,1,0,0,0,0,1,0,0,1,0,0
32,1,2,1,1,3,5,42216,92141.0,0,0,0,0.0,217678.0,56156.0,216666.0,19.76,2,1,653.0,0,0,349462,5,11.01,1,408906.0,85.46,349462,1,0,0,0,0,1,0,0,1,0,0,0,1,0
63,3,3,0,4,0,0,53789,15062.0,1,1867341,25815,47.99,520010.0,288422.0,304279.0,52.06,2,2,566.0,0,1,478732,5,13.74,0,3135356.0,65.88499999999999,2346073,1,0,0,1,0,0,0,0,1,0,0,0,1,0
28,3,2,1,1,0,0,73760,0.0,0,0,0,0.0,772304.0,0.0,520162.0,34.38,2,1,672.0,0,0,1921645,15,11.02,0,3135356.0,65.88499999999999,1921645,1,0,0,1,0,0,0,0,1,0,0,0,0,0
37,0,2,1,2,0,12,30485,19582.0,4,1322220,13173,43.21,211979.0,75777.0,164954.0,74.04,1,2,544.0,0,2,535342,2,13.89,0,3135356.0,65.88499999999999,1857562,0,0,1,0,0,0,1,0,0,0,0,0,1,0
44,4,2,0,3,1,1,64377,10935.0,1,1035095,11845,18.4,284027.0,235227.0,147250.0,15.88,2,3,626.0,0,0,3508321,30,12.28,1,5162491.0,67.96,4543416,1,0,0,1,0,0,0,0,1,0,1,0,0,0
37,3,1,1,1,4,15,81266,0.0,3,608977,13618,16.76,1594644.0,540164.0,1028916.0,57.46,4,2,668.0,0,0,2602028,15,10.98,1,4332507.0,90.35996757090145,3211005,1,0,0,1,0,0,0,0,1,0,1,0,0,0
27,3,0,1,1,2,4,131384,131148.0,1,4431524,47602,36.23,235407.0,0.0,275419.0,45.21,4,5,633.0,0,0,4809147,10,11.72,1,8213076.0,58.55,9240671,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,4,0,1,4,1,2,67028,0.0,0,0,0,0.0,330147.0,97073.0,283991.0,35.37,1,3,630.0,0,0,994144,3,11.99,1,1762322.0,56.41,994144,0,1,0,1,0,0,0,0,1,0,0,0,0,1
21,1,2,0,4,0,0,74462,0.0,2,4161793,55611,74.68,109721.0,47073.0,136802.0,75.07,2,2,551.0,0,3,381696,5,15.21,1,458503.0,83.25,4543489,1,0,0,0,1,0,0,0,0,0,0,0,0,1
40,0,1,1,1,10,18,33172,0.0,0,0,0,0.0,563343.0,0.0,415775.0,45.91,1,1,670.0,0,0,137315,3,10.99,1,255160.0,53.82,137315,1,0,0,0,0,0,1,0,0,0,0,0,0,1
31,2,0,1,1,0,0,72938,0.0,2,3924541,53948,73.96,477551.0,0.0,288084.0,52.13,2,2,371.0,1,4,720039,7,15.54,1,1277434.0,56.37,4644580,1,0,0,1,0,0,0,1,0,0,0,0,0,1
31,3,0,1,1,4,7,40019,19954.0,1,1979420,29257,73.11,351348.0,38770.0,268666.0,62.54,2,1,399.0,1,3,2257745,15,15.16,1,2845891.0,79.33,4237165,0,1,0,0,1,0,0,0,1,0,1,0,0,0
35,1,1,1,2,1,9,87325,32705.0,1,3071737,31037,35.54,573136.0,97294.0,352653.0,59.47,3,3,639.0,0,0,1449013,5,13.69,0,3135356.0,65.88499999999999,4520750,1,0,0,0,1,0,0,0,1,0,0,0,1,0
42,3,0,1,1,5,21,101576,0.0,1,3875346,40620,39.99,907151.0,0.0,938668.0,29.63,3,2,613.0,0,2,3666683,15,11.74,0,3135356.0,65.88499999999999,7542029,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,1,1,0,3,2,2,36168,470613.0,1,2211463,22753,62.91,397920.0,0.0,432241.0,61.83,2,0,555.0,0,2,204051,2,15.56,0,3135356.0,65.88499999999999,2415514,1,0,0,1,0,0,0,0,1,0,0,1,0,0
32,3,1,0,3,0,2,36460,0.0,2,2262134,29357,80.52,229358.0,0.0,91673.0,54.86,3,1,544.0,0,2,1201438,15,16.05,1,1396720.0,86.02,3463572,1,0,0,1,0,0,0,0,1,0,0,0,0,0
56,3,3,1,1,14,15,126353,0.0,0,0,0,0.0,1058087.0,914169.0,597842.0,14.83,3,3,716.0,0,0,2399681,2,9.11,0,3135356.0,65.88499999999999,2399681,0,0,1,1,0,0,0,0,1,0,0,0,1,0
27,2,0,1,1,1,5,82261,9725.0,1,871298,8162,9.92,237205.0,55625.0,336062.0,25.5,2,2,668.0,0,0,417941,5,11.27,0,3135356.0,65.88499999999999,1289239,1,0,0,1,0,0,0,0,1,1,0,0,0,0
51,4,0,1,2,1,23,118116,8532.0,0,0,0,0.0,2272471.0,1046982.0,1190513.0,3.75,2,1,698.0,0,0,762087,7,11.15,1,902197.0,84.47,762087,1,0,0,1,0,0,0,0,1,1,0,0,0,0
31,3,3,1,1,0,3,152218,0.0,1,7593250,75123,49.35,1670007.0,404190.0,2115724.0,15.18,2,4,640.0,0,0,2687507,2,12.96,0,3135356.0,65.88499999999999,10280757,1,0,0,0,1,0,0,0,1,0,0,0,1,0
25,1,0,0,4,3,4,20389,0.0,1,1018002,11967,58.69,67108.0,15663.0,67339.0,50.62,1,0,426.0,1,3,57466,5,16.79,1,112097.0,51.26,1075468,0,1,0,0,0,1,0,0,0,1,0,0,0,0
27,0,0,1,1,2,3,107853,0.0,2,2499203,19337,17.93,743692.0,0.0,576060.0,31.47,2,2,659.0,0,0,3380596,5,11.23,1,7219171.0,46.83,5879799,0,1,0,0,1,0,0,0,1,0,0,0,0,0
27,1,1,0,4,0,0,71679,0.0,0,0,0,0.0,1071900.0,259198.0,843238.0,25.03,3,2,650.0,0,0,4426568,30,10.83,1,5945631.0,74.45,4426568,0,1,0,0,1,0,0,0,1,0,1,0,0,0
43,0,1,0,4,6,7,35777,37523.0,1,1737412,17850,49.89,85681.0,54169.0,108194.0,54.24,2,1,576.0,0,0,198456,2,16.88,0,3135356.0,65.88499999999999,1935868,1,0,0,0,0,1,0,0,0,0,0,1,0,0
